domain,site,sitemap,reason,new_urls_count,blacklisted_on
1001prestataires.fr,https://www.1001prestataires.fr/,https://www.1001prestataires.fr/sitemap_index.xml,too_many_new_urls>100,584,2026-07-02
50bestsites.info,https://50bestsites.info,https://50bestsites.info/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-08-24
accor-immo.fr,https://www.accor-immo.fr/,https://www.accor-immo.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
achats-immo.fr,https://www.achats-immo.fr,https://www.achats-immo.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
actu-immobilier.net,https://www.actu-immobilier.net,https://www.actu-immobilier.net/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-28
agence-immobilier.fr,https://www.agence-immobilier.fr,https://www.agence-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
agencedumoulin87.fr,https://www.agencedumoulin87.fr,https://www.agencedumoulin87.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-29
agenceimmobiliere-caen.com,https://www.agenceimmobiliere-caen.com/,https://www.agenceimmobiliere-caen.com/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
agenceimmobiliereavignon.fr,https://www.agenceimmobiliereavignon.fr,https://www.agenceimmobiliereavignon.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
agenceimmobilierefnaim.fr,https://www.agenceimmobilierefnaim.fr/,https://www.agenceimmobilierefnaim.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
akerys-immobilier.fr,https://www.akerys-immobilier.fr,https://www.akerys-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
alpaca.immo,https://alpaca.immo,https://alpaca.immo/sitemap.xml,too_many_new_urls>100,675,2026-07-15
annuaire-pro-btp.fr,https://annuaire-pro-btp.fr/,https://annuaire-pro-btp.fr/sitemap.xml,manual_high_volume_exclusion,,2026-05-22
anousparis.fr,https://anousparis.fr/,https://anousparis.fr/wp-sitemap.xml,definitive_sitemap_http_404_7d,0,2026-06-25
appartement-geneve.com,https://www.appartement-geneve.com,https://www.appartement-geneve.com/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
archibien.com,https://www.archibien.com/,https://www.archibien.com/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-06-12
ateliermaison.fr,https://www.ateliermaison.fr/,https://www.ateliermaison.fr/wp-sitemap.xml,definitive_sitemap_http_404_7d,0,2026-08-26
ats-ffa.org,https://ats-ffa.org,https://www.ats-ffa.org/sitemap-news.xml,definitive_sitemap_http_404_7d,0,2026-06-12
auris-immo.fr,https://auris-immo.fr/,https://auris-immo.fr/sitemap-index.xml,manual_high_volume_exclusion,,2026-05-22
banquebauer.ch,https://banquebauer.ch/,https://banquebauer.ch/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
barnade.com,https://www.barnade.com/,https://www.barnade.com/sitemap.xml,too_many_new_urls>100,160,2026-05-27
batinfo.com,https://batinfo.com/,https://batinfo.com/sitemap.xml,manual_high_volume_exclusion,,2026-05-22
bdi-immo.com,https://www.bdi-immo.com,https://www.bdi-immo.com/wp-sitemap.xml,definitive_sitemap_http_404_7d,0,2026-08-26
belaircamp.org,https://www.belaircamp.org/,https://www.belaircamp.org/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-08-18
bellesdemeures.com,https://magazine.bellesdemeures.com/,https://magazine.bellesdemeures.com/sitemap.xml,too_many_new_urls>100,126,2026-05-23
bleu-canard.fr,https://bleu-canard.fr,https://bleu-canard.fr/sitemap.xml,manual_high_volume_exclusion,,2026-05-22
bouchard-immobilier.fr,https://www.bouchard-immobilier.fr,https://www.bouchard-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
bricolagehome.fr,https://www.bricolagehome.fr/,https://www.bricolagehome.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
business-flux.fr,https://www.business-flux.fr/,https://www.business-flux.fr/wp-sitemap.xml,definitive_sitemap_http_404_7d,0,2026-08-26
cafe-pouchkine.fr,https://www.cafe-pouchkine.fr,https://www.cafe-pouchkine.fr/sitemaps.xml,too_many_new_urls>100,1901,2026-09-02
cahorsjuinjardins.fr,https://www.cahorsjuinjardins.fr/,https://www.cahorsjuinjardins.fr/sitemap_index.xml,too_many_new_urls>100,223,2026-07-02
capitole-immobilier.fr,https://www.capitole-immobilier.fr,https://www.capitole-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
capstone-immobilier.fr,https://www.capstone-immobilier.fr,https://www.capstone-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
caractere-immobilier.fr,https://www.caractere-immobilier.fr,https://www.caractere-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
cc-paysdelapetitepierre.fr,https://www.cc-paysdelapetitepierre.fr,https://www.cc-paysdelapetitepierre.fr/sitemap_index.xml,too_many_new_urls>100,946,2026-08-31
ceth.fr,https://ceth.fr/,https://ceth.fr/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-06-25
cgt-76.fr,https://cgt-76.fr/,https://cgt-76.fr/sitemap_index.xml,too_many_new_urls>100,1486,2026-05-27
chalets-lumiere-bois.com,https://www.chalets-lumiere-bois.com,https://www.chalets-lumiere-bois.com/sitemap_index.xml,manual_high_volume_exclusion,,2026-05-22
cht-immobilier.fr,https://www.cht-immobilier.fr,https://www.cht-immobilier.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
club-finance.fr,https://www.club-finance.fr,https://www.club-finance.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
columbiaclimb.com,https://columbiaclimb.com/,https://columbiaclimb.com/sitemap_index.xml,definitive_sitemap_http_404_7d,0,2026-08-25
conception-cuisines.be,https://www.conception-cuisines.be,https://www.conception-cuisines.be/wp-sitemap.xml,definitive_sitemap_http_404_7d,0,2026-08-26
